GeneID	GYAPG	GYAOY	GYAOZ	GYAPA	GYAPB	GYAPC	GYAPH	GYAPN	GYAPO	GYAPP	GYAPS	GYAPT
jgi.p|Debha1|1121	1056	2436	3805	2060	1623	1848	2373	947	1167	2503	2503	1104
jgi.p|Debha1|1122	5046	7644	14886	8917	4579	9362	25578	8818	11717	10836	11666	5379
jgi.p|Debha1|1123	376	423	1008	545	310	616	1179	329	508	785	777	424
jgi.p|Debha1|1124	59	138	169	136	84	144	635	210	290	155	181	70
jgi.p|Debha1|1125	99	371	306	412	201	346	1248	425	584	385	429	209
jgi.p|Debha1|1126	71	159	243	153	75	170	877	262	367	207	206	104
jgi.p|Debha1|1127	1196	3295	4383	3783	1844	3642	1719	690	842	2915	3338	1576
jgi.p|Debha1|1128	62	155	202	104	88	177	1018	263	528	152	197	79
jgi.p|Debha1|1129	1	2	0	0	3	4	3	0	1	0	0	1
jgi.p|Debha1|113	46	237	202	218	79	158	203	123	113	109	137	54
jgi.p|Debha1|1130	64	171	241	148	119	183	188	103	86	182	214	90
jgi.p|Debha1|1131	23	42	68	66	44	38	161	49	60	57	50	19
jgi.p|Debha1|1132	15	37	40	23	6	11	148	55	60	18	19	5
jgi.p|Debha1|1133	17	14	36	20	31	21	166	58	76	28	19	18
jgi.p|Debha1|1134	273	238	674	340	156	370	999	274	487	357	395	217
jgi.p|Debha1|1135	354	541	1004	530	295	545	5311	1081	2296	844	1053	470
jgi.p|Debha1|1136	118	564	363	527	246	370	872	799	536	417	411	148
jgi.p|Debha1|1137	90	192	229	212	150	185	1942	476	755	270	281	113
jgi.p|Debha1|1138	46	77	111	71	53	104	356	91	129	97	67	43
jgi.p|Debha1|1139	2325	15317	10648	17129	7962	14198	4565	4541	2430	5554	7201	3361
jgi.p|Debha1|114	40	153	98	146	74	108	270	96	116	141	117	57
jgi.p|Debha1|1140	2100	3704	6992	4353	2311	5765	3949	1387	1814	5626	6234	2767
jgi.p|Debha1|1141	1172	1032	2171	1114	857	1698	7231	1552	3134	2461	2436	1147
jgi.p|Debha1|1142	34	78	95	93	39	41	781	188	312	97	89	56
jgi.p|Debha1|1143	300	717	781	806	411	641	2759	779	1291	567	588	306
jgi.p|Debha1|1144	2279	2077	5792	2458	1363	3086	6656	1137	2700	5135	5673	2833
jgi.p|Debha1|1145	343	1128	1116	953	450	472	397	285	213	536	605	301
jgi.p|Debha1|1146	293	346	648	420	245	456	3005	512	1260	691	597	303
jgi.p|Debha1|1147	1670	2085	3928	2124	1170	2486	9487	2146	4195	3135	3210	1554
jgi.p|Debha1|1148	163	172	339	189	127	216	944	237	427	432	415	197
jgi.p|Debha1|1149	1513	1997	4096	2135	1079	1916	1004	302	495	2138	2120	990
jgi.p|Debha1|115	80	175	255	181	87	187	790	219	348	274	243	131
jgi.p|Debha1|1150	393	371	886	489	227	521	1454	362	727	401	489	300
jgi.p|Debha1|1151	17150	22233	53462	27622	14870	29399	52068	17114	21956	32733	33856	15825
