GeneID	GYATH	GYATN	GYATO	GYATP	GYATS	GYATT	GYOYH	GYATW	GYATX	GYATY	GYATZ	GYAUA
jgi.p|YarlipO1F2|11905	17726	12868	21941	2709	9970	2630	2653	568	1012	775	1823	1047
jgi.p|YarlipO1F2|119082	658	193	666	488	636	291	1161	606	1001	228	529	366
jgi.p|YarlipO1F2|119103	561	183	482	470	450	259	696	2670	1913	283	587	314
jgi.p|YarlipO1F2|119227	119	68	150	150	173	80	227	323	351	119	410	249
jgi.p|YarlipO1F2|119240	284	288	386	105	156	74	215	116	141	53	138	106
jgi.p|YarlipO1F2|119255	1322	613	1506	991	1257	681	1455	2644	2625	736	1599	1029
jgi.p|YarlipO1F2|119488	558	149	465	764	391	338	503	569	828	462	1179	737
jgi.p|YarlipO1F2|119535	426	88	349	649	503	322	564	670	803	464	863	476
jgi.p|YarlipO1F2|12010	5163	4349	10980	3753	1493	1180	2631	600	955	1303	895	468
jgi.p|YarlipO1F2|120285	7713	2920	8054	1820	6265	1708	2776	1964	1921	639	1144	558
jgi.p|YarlipO1F2|120397	750	221	678	619	722	453	933	901	1172	384	1066	705
jgi.p|YarlipO1F2|120434	537	152	513	979	549	465	700	428	529	378	612	428
jgi.p|YarlipO1F2|120436	2718	1820	3508	1512	2219	813	1097	1033	1510	912	2376	1422
jgi.p|YarlipO1F2|120600	1996	409	1612	5311	2115	1764	2367	3891	5334	2357	4820	3034
jgi.p|YarlipO1F2|120639	12	10	10	19	15	13	4	5	4	7	16	8
jgi.p|YarlipO1F2|120664	3002	2572	4030	1133	2124	865	794	714	400	738	4144	2257
jgi.p|YarlipO1F2|120779	37	9	37	99	40	51	152	867	856	70	250	117
jgi.p|YarlipO1F2|120802	204	64	204	195	204	127	196	218	259	153	309	212
jgi.p|YarlipO1F2|12094	64	15	58	83	40	29	62	42	48	35	129	108
jgi.p|YarlipO1F2|12111	417	132	442	383	308	237	637	529	661	305	481	276
jgi.p|YarlipO1F2|121134	7148	3379	7232	6552	6685	4027	1458	678	1016	2892	6700	4626
jgi.p|YarlipO1F2|121338	2928	648	2409	3141	2547	1839	2795	1143	1879	1716	3107	1738
jgi.p|YarlipO1F2|12143	57	13	70	10	38	17	5	1	0	2	4	0
jgi.p|YarlipO1F2|121475	138	51	105	78	111	34	120	516	342	82	324	214
jgi.p|YarlipO1F2|121565	374	198	441	250	280	147	147	54	65	180	483	290
jgi.p|YarlipO1F2|121582	1	0	1	0	2	2	1	1	1	1	2	2
jgi.p|YarlipO1F2|121597	2657	1135	2787	940	2078	715	1949	3139	3405	680	1740	998
jgi.p|YarlipO1F2|121694	674	177	567	771	708	393	931	1564	1779	571	1223	797
jgi.p|YarlipO1F2|12172	7675	3753	7508	2095	6341	1956	2232	477	720	665	1300	680
jgi.p|YarlipO1F2|121789	385	112	302	431	487	251	769	632	958	217	585	364
jgi.p|YarlipO1F2|121814	28	2	7	48	20	41	2	3	16	19	50	41
jgi.p|YarlipO1F2|121893	6	2	4	7	4	5	4	13	16	6	11	8
jgi.p|YarlipO1F2|121916	1320	393	1285	1449	1272	805	1265	3015	2769	775	1805	1071
jgi.p|YarlipO1F2|121966	407	113	328	434	372	256	189	219	298	171	328	218
jgi.p|YarlipO1F2|121987	834	349	860	744	766	364	1196	3220	2866	457	1268	774
