cont	cont	cont	lowN	lowN	lowN	salt	salt	salt	lowFE	lowFE	lowFE
104168	459.869244394674	375.171176078042	390.700185062943	570.546867611746	508.944468159947	500.583595921216	249.049864887231	106.289053182654	161.099385375766	584.788924919764	589.320241986362	523.861087208916
104284	1334.34819419263	932.311605223876	1195.08291901606	1451.97439064659	1746.79312941696	1656.27176914126	2553.49940520742	2702.19477514363	2190.95164111042	1334.36874389423	908.435960066022	724.592905672145
104290	5503.07501772115	4728.95404577412	5047.09125620175	7772.01638557733	5714.35118047941	7421.83588679333	8001.09605455896	6737.90836367888	7117.1651871115	7704.33887868108	6356.66580855128	6206.0403191217
10438	7916.37829322642	10877.7175722747	9244.65584950404	3141.152518379	7035.02986367927	4254.15576855233	1576.00329519548	965.595167759344	719.805764444912	2187.48974408889	2396.05203649718	2438.15720962654
104670	2625.05326150071	1833.17173460887	2348.30510391823	3600.28550948074	3210.12351707395	3087.20044044017	3410.90032345556	3616.28063251446	4174.18790448102	3615.19138373091	4447.33980187279	3969.59410756065
104674	225.48948890354	739.109682213627	419.428139846983	112.312375514123	175.783713234268	119.109923145241	114.188870857387	113.6475260953	104.885982819116	135.624364133511	277.36225963933	248.711618973953
104718	1773.20408119845	990.721488924649	1574.29192216539	2755.69644561453	1914.29384045694	2465.89732781769	2076.07179860542	3306.40716208195	3206.90606292695	2414.98867747414	2555.31165654815	2748.55714354285
104861	15.3559150149364	22.4653398849127	27.0863573678091	48.5189462221012	23.9286730057118	40.2398389004193	123.048352217012	44.9684455772768	54.8423439577076	42.2914683857186	41.1569804626103	50.9173393175021
105349	34.7528602969613	26.9584078618952	22.9823638272319	22.4624751028247	16.5660043885697	45.0686195684696	6.89070772415265	4.9056486084302	7.54082229418479	53.9580803541927	72.7703132817168	80.2927273852918
105354	1006.21653650504	1199.64914985434	954.588897538241	844.589063866207	929.536912914189	917.46832692956	901.69832504626	1309.80817845086	1107.12981864622	1251.24413361885	1866.37959228272	1923.10873883796
10561	1335.96460629947	972.749217016719	934.88972854347	1377.39897330521	1149.49663785131	1562.91534289229	1175.35786037689	276.351538274901	444.908515356903	1187.07776779224	1109.44903855732	1189.70321674548
105623	3253.83757105968	3628.1523914134	3163.35822107685	1877.86291859614	3301.23654121109	2123.05390038612	2056.3840622507	4639.92597547356	3969.90017323856	2225.40623298643	2211.74034138202	2212.94590110682
105642	36.3692724037967	110.080165436072	41.0399354057713	15.2744830699208	22.0880058514263	16.0959355601677	38.3910858917076	44.1508374758718	54.1568146582362	11.6666119684741	10.1401256212228	9.79179602259656
105832	33.1364481901259	67.396019654738	62.3807018167724	119.500367547027	29.4506744685684	78.8700842448218	35.4379254384993	4.08804050702517	4.79870509629941	129.791058149274	70.9808793485598	52.8756985220214
105833	33.9446542435436	42.6841457813341	20.5199677028857	50.3159442303272	26.6896737371401	27.3630904522851	32.484764985291	71.1319048222379	72.6661057439625	43.7497948817779	36.9816346185774	26.4378492610107
105840	185.079186232654	47.1772137583166	109.987026887467	408.817046871409	242.047730788546	262.363749630734	1266.90583442635	4711.0578802958	2972.45504250775	316.45684964486	289.29181919371	419.088869767133
105856	1033.69554232124	963.763081062754	1172.10055518883	971.277423446138	1247.05199702844	1009.21515962252	1353.53187438713	1442.26069087848	1559.57915629731	825.412796769543	755.737597769961	777.468604194167
105923	275.598264215437	375.171176078042	262.655586596936	185.090794847275	218.119057782835	202.808788058113	765.85294419868	659.809737833862	492.210037020426	234.790565865541	265.432700084951	257.52423539429
105967	418.650735670371	256.104874688005	329.961080662401	1278.56408285278	536.55447547423	729.145880875598	1466.73635842678	11623.9343776754	5580.89402699622	1612.90910464154	1613.47292972987	1801.69046815777
106119	585.141182674419	188.708855033267	293.025138797207	1364.81998724763	563.24414921137	1205.58557345656	819.009832356429	359.747564618215	389.380642099724	1026.66185322572	708.019359552441	785.302041012244
106294	3942.42912857157	5670.25178695196	4465.14497214792	2351.37189376368	3996.08839195387	2763.6721356808	1361.40696892902	615.65890035799	719.120235145441	1984.78236113666	2081.11166426156	2100.34024684696
106461	1499.22222908984	581.852303019238	988.241644570973	6020.84182656112	2239.17159318834	4315.32032368096	3482.76056115029	3201.75332510211	3385.1436807895	3171.8601289289	2123.4616006796	2111.11122247182
106488	824.370174486059	957.02347909728	829.00669519658	1442.98940060546	924.935245028476	1199.14719923249	1632.11334380644	2001.50463223952	1504.7368123396	1293.53560200457	1131.51872373292	1043.80545600879
10649	1978.48841876654	3468.64847823052	2205.48612870615	1797.89650723009	2033.01687190836	1884.83405409564	1518.90885976679	3205.02375750773	2836.03471191295	3263.73469818063	5543.06984694258	5902.49464242121
106553	2.42461816025312	24.7118738734039	4.10399354057713	5.39099402467792	1.84066715428552	4.82878066805031	0.984386817736092	8.17608101405033	2.05658789841403	1.45832649605926	2.98238988859495	1.95835920451931
106576	544.730880003533	676.206730535872	622.165420751493	432.178020978346	651.596172617075	515.069937925367	520.740626582393	548.615036042777	552.536615373904	513.33092661286	494.480243529043	502.319135959203
106627	1757.03996013009	2428.50324155906	1946.93453564979	1407.04944044094	1856.31282509695	1585.44965267652	1048.37196088894	5600.61549462448	3612.73940821399	1976.0324021603	2292.8613463518	2129.71563491475
106639	218.21563442278	314.514758388778	208.482871861318	12.5789860575818	212.597056319978	61.1645551286373	5.90632090641655	6.54086481124027	3.42764649735672	11.6666119684741	14.9119494429748	10.7709756248562
106640	111.532435371643	105.58709745909	105.88303334689	38.6354571768584	82.8300219428486	64.3837422406709	2.95316045320828	3.27043240562013	0.685529299471345	18.9582444487704	11.9295595543798	11.7501552271159
106804	1071.68122683188	808.752235856856	893.849793137699	778.998636565959	1026.17193851418	801.577590896352	1267.89022124409	1205.97194957242	1000.18724792869	606.663822360653	543.391437702	532.673703629253
107004	165.68224095063	76.3821556087031	82.900669519658	1084.48829796437	438.999116297097	745.241816435765	2127.2599131277	844.589168751399	1258.63179382939	962.495487399113	879.805017135511	870.490666408834
