GeneID	GYAPU	GYAPW	GYAPX	GYAPY	GYAPZ	GYASA	GYOYB	GYOYC	GYASG	GYOYG	GYASN	GYASO
jgi.p|Debsub1|213702	28411	14599	36534	25510	31913	36836	2441	5182	5399	23676	43539	30552
jgi.p|Debsub1|213707	32852	16976	34191	21698	22337	30465	3339	5057	4979	12268	26611	18646
jgi.p|Debsub1|213711	852	388	365	216	235	237	20	23	35	193	346	132
jgi.p|Debsub1|213712	1849	1023	1748	1254	1787	2091	378	273	755	1027	2026	1385
jgi.p|Debsub1|213713	823	411	1082	656	823	951	1121	433	1825	423	862	901
jgi.p|Debsub1|213715	2722	1249	1143	900	1058	1333	33	35	86	449	1397	299
jgi.p|Debsub1|213717	5170	2804	6693	4038	4919	6009	2606	2136	4706	3491	6367	7453
jgi.p|Debsub1|213721	1357	676	1277	754	1009	1115	52	90	110	509	1182	384
jgi.p|Debsub1|213725	27779	14402	34107	14570	19679	21227	7876	8244	13220	13636	25724	19432
jgi.p|Debsub1|213726	426	227	363	268	231	295	6	14	23	87	243	77
jgi.p|Debsub1|213727	1226	550	602	439	673	926	34	32	70	338	888	137
jgi.p|Debsub1|213728	3948	1901	4164	3110	2957	3428	272	310	531	1666	3236	1952
jgi.p|Debsub1|213731	4762	2553	5645	3355	4192	5188	5632	2281	9018	2606	4656	4947
jgi.p|Debsub1|213734	916	480	641	503	562	476	9	6	36	181	500	114
jgi.p|Debsub1|213735	3089	1507	3793	1775	2145	2685	626	885	1455	1747	2572	2352
jgi.p|Debsub1|213745	1068	501	1513	986	1037	1271	152	254	321	624	1118	911
jgi.p|Debsub1|213749	1518	747	995	644	808	919	286	145	545	441	1017	364
jgi.p|Debsub1|213753	1592	779	1224	842	994	1252	44	45	68	422	1017	314
jgi.p|Debsub1|213754	65	47	43	35	56	69	2	7	6	24	58	13
jgi.p|Debsub1|213756	40090	19745	59147	23866	31440	33365	80611	33737	128655	21203	38148	62431
jgi.p|Debsub1|213760	2510	1350	2064	1202	1472	1561	71	109	142	765	1488	770
jgi.p|Debsub1|213761	5092	2506	5953	3570	4206	5550	288	663	599	1939	3765	1904
jgi.p|Debsub1|213762	557	274	236	215	211	184	6	9	14	60	185	31
jgi.p|Debsub1|213763	689	393	705	539	619	622	21	35	57	264	579	259
jgi.p|Debsub1|213764	7239	3634	3696	2554	2735	3357	69	110	208	1370	3315	594
jgi.p|Debsub1|213771	569	267	313	273	288	391	33	23	42	159	352	115
jgi.p|Debsub1|213783	1358	670	1423	865	1057	1246	52	75	106	613	1126	562
jgi.p|Debsub1|213785	1086	494	1069	532	900	1358	104	209	356	721	1049	149
jgi.p|Debsub1|213790	5218	2367	7180	2802	3050	3702	3292	2412	5301	1947	3857	5184
jgi.p|Debsub1|213791	2325	1012	2760	1190	1588	1714	613	671	1033	1262	1659	1979
jgi.p|Debsub1|213792	2327	1217	2651	2056	2208	2978	163	233	338	1001	2182	1593
jgi.p|Debsub1|213796	1957	1059	1785	952	1149	1626	55	52	153	618	1689	358
jgi.p|Debsub1|213798	629	327	764	475	672	865	743	508	2108	434	736	536
jgi.p|Debsub1|213805	5682	2661	6723	3716	3857	4927	351	612	681	2017	4091	2727
jgi.p|Debsub1|213807	715	313	525	324	444	544	17	45	66	276	513	132
jgi.p|Debsub1|213811	3560	1718	2593	1561	1754	2667	40	100	102	1498	2473	444
jgi.p|Debsub1|213813	1338	659	569	397	492	447	37	22	63	211	539	201
jgi.p|Debsub1|213819	6643	3429	9475	4656	5251	6422	16503	5343	24529	2164	5001	5787
jgi.p|Debsub1|213823	4102	2083	5782	2993	3412	3962	2031	1625	4085	1569	3289	3244
jgi.p|Debsub1|213824	4337	2120	5359	3699	4140	4973	3338	2808	4654	2366	4310	5842
jgi.p|Debsub1|213826	3014	1426	3924	1643	2017	2749	2700	1552	5964	1330	2459	1678
jgi.p|Debsub1|213831	10	8	17	9	2	13	11	5	18	6	9	15
jgi.p|Debsub1|213835	384	181	473	362	368	419	19	40	51	123	212	131
jgi.p|Debsub1|213839	1056	491	619	477	472	696	40	22	52	241	705	89
jgi.p|Debsub1|213840	260	131	261	163	170	214	3	22	20	104	189	75
jgi.p|Debsub1|213841	1018	441	1158	763	904	997	52	97	147	351	751	477
jgi.p|Debsub1|213844	3624	1970	4096	2885	3173	4327	1022	737	2013	1633	3292	2605
jgi.p|Debsub1|213856	520	243	551	542	493	839	36	89	63	146	291	149
jgi.p|Debsub1|213871	180	78	253	189	162	213	970	306	1395	85	176	235
jgi.p|Debsub1|213872	9876	4717	6170	4037	5125	5422	405	399	828	1844	4994	1228
jgi.p|Debsub1|213889	5782	3375	6154	3868	4524	5375	709	612	1133	2121	6175	3447
